cell_id,model,prompt_cell,effort,replicate,tools_allowed,session_id,jsonl_path,dispatch_duration_s,dispatch_exit_code,error_note,n_turns,thinking_block_count,thinking_total_chars,visible_response_chars,tool_call_count,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,visible_tokens_approx,phantom_tokens,jsonl_duration_s,marker_self_correction_count,marker_branching_count,marker_uncertainty_count,marker_dead_end_count,marker_self_correction_density,marker_branching_density,marker_uncertainty_density,marker_dead_end_density,n_records,file_size_bytes,first_ts,last_ts,model_from_jsonl,prompt_cell_inferred,claude_code_version_jsonl,claude_version_dispatch,dispatch_started_at,dispatch_ended_at
1,sonnet,A,low,1,false,8f5a528d-acb0-42f9-9bd1-024ac01bd6d6,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/8f5a528d-acb0-42f9-9bd1-024ac01bd6d6.jsonl,6,0,,1,0,0,118,0,3,27,0,11704,30,-3,3.059,0,0,0,0,0.0,0.0,0.0,0.0,6,3121,2026-04-16T06:08:04.795Z,2026-04-16T06:08:07.854Z,claude-sonnet-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:02Z,2026-04-16T06:08:08Z
2,sonnet,A,low,2,false,c6bef3ce-9a90-46ae-b21f-6fccb5192bc4,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/c6bef3ce-9a90-46ae-b21f-6fccb5192bc4.jsonl,6,0,,1,0,0,112,0,3,25,0,11734,28,-3,3.675,0,0,0,0,0.0,0.0,0.0,0.0,6,3115,2026-04-16T06:08:12.289Z,2026-04-16T06:08:15.964Z,claude-sonnet-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:10Z,2026-04-16T06:08:16Z
3,sonnet,A,low,3,false,34bcc74a-9eb4-4e8c-b13a-1931d2c56771,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/34bcc74a-9eb4-4e8c-b13a-1931d2c56771.jsonl,7,0,,1,0,0,118,0,3,27,0,11764,30,-3,5.08,0,0,0,0,0.0,0.0,0.0,0.0,6,3121,2026-04-16T06:08:20.211Z,2026-04-16T06:08:25.291Z,claude-sonnet-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:18Z,2026-04-16T06:08:25Z
4,sonnet,A,high,1,false,e666f6e8-efef-4afe-aa53-e12fb0bdbcfe,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/e666f6e8-efef-4afe-aa53-e12fb0bdbcfe.jsonl,8,0,,1,0,0,118,0,3,27,0,11794,30,-3,4.045,0,0,0,0,0.0,0.0,0.0,0.0,6,3121,2026-04-16T06:08:30.990Z,2026-04-16T06:08:35.035Z,claude-sonnet-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:27Z,2026-04-16T06:08:35Z
5,sonnet,A,high,2,false,80d42e10-43b1-4301-b475-5f73c34ce43b,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/80d42e10-43b1-4301-b475-5f73c34ce43b.jsonl,6,0,,1,0,0,118,0,3,27,0,11824,30,-3,4.043,0,0,0,0,0.0,0.0,0.0,0.0,6,3121,2026-04-16T06:08:39.460Z,2026-04-16T06:08:43.503Z,claude-sonnet-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:37Z,2026-04-16T06:08:43Z
6,sonnet,A,high,3,false,286083dc-7fbe-4100-a477-0600c66f6347,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/286083dc-7fbe-4100-a477-0600c66f6347.jsonl,6,0,,1,0,0,112,0,3,25,0,11854,28,-3,3.102,0,0,0,0,0.0,0.0,0.0,0.0,6,3115,2026-04-16T06:08:47.683Z,2026-04-16T06:08:50.785Z,claude-sonnet-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:45Z,2026-04-16T06:08:51Z
7,opus,A,low,1,false,323a1f13-6674-4ecb-9733-55411d084118,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/323a1f13-6674-4ecb-9733-55411d084118.jsonl,5,0,,1,0,0,51,0,6,20,0,16765,13,7,3.046,0,0,0,0,0.0,0.0,0.0,0.0,6,3052,2026-04-16T06:08:55.122Z,2026-04-16T06:08:58.168Z,claude-opus-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:53Z,2026-04-16T06:08:58Z
8,opus,A,low,2,false,f29ebcc8-783b-42e1-a282-54712acb075e,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/f29ebcc8-783b-42e1-a282-54712acb075e.jsonl,6,0,,1,0,0,51,0,6,20,2082,14726,13,7,3.013,0,0,0,0,0.0,0.0,0.0,0.0,6,3058,2026-04-16T06:09:02.809Z,2026-04-16T06:09:05.822Z,claude-opus-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:09:00Z,2026-04-16T06:09:06Z
9,opus,A,low,3,false,,,25,1,exit_code=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.110 (Claude Code),2026-04-16T06:09:08Z,2026-04-16T06:09:33Z
10,opus,A,high,1,false,20a48f96-37b5-47d0-8fc3-a61823a30842,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/20a48f96-37b5-47d0-8fc3-a61823a30842.jsonl,6,0,,1,0,0,56,0,6,23,0,16894,14,9,3.12,0,0,0,0,0.0,0.0,0.0,0.0,6,3057,2026-04-16T06:09:37.607Z,2026-04-16T06:09:40.727Z,claude-opus-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:09:35Z,2026-04-16T06:09:41Z
11,opus,A,high,2,false,051040b0-8148-43a6-9344-24b16261062c,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/051040b0-8148-43a6-9344-24b16261062c.jsonl,10,0,,1,0,0,56,0,6,23,2082,14855,14,9,7.684,0,0,0,0,0.0,0.0,0.0,0.0,6,3063,2026-04-16T06:09:44.927Z,2026-04-16T06:09:52.611Z,claude-opus-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:09:43Z,2026-04-16T06:09:53Z
12,opus,A,high,3,false,,,26,1,exit_code=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.110 (Claude Code),2026-04-16T06:09:55Z,2026-04-16T06:10:21Z
13,sonnet,B-notools,low,1,false,8366460a-6814-4a24-b467-32cc9d384b42,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/8366460a-6814-4a24-b467-32cc9d384b42.jsonl,83,0,,2,1,5123,10280,0,6,7632,0,24218,3851,3781,80.895,4,0,3,0,0.7807925043919578,0.0,0.5855943782939683,0.0,7,31322,2026-04-16T06:10:24.967Z,2026-04-16T06:11:45.862Z,claude-sonnet-4-6,B-notools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:10:23Z,2026-04-16T06:11:46Z
14,sonnet,B-notools,low,2,false,e50122a4-63ee-4fd2-859c-adebb49d5888,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/e50122a4-63ee-4fd2-859c-adebb49d5888.jsonl,55,0,,2,1,260,9573,0,6,4088,0,24278,2459,1629,52.844,0,0,0,0,0.0,0.0,0.0,0.0,7,15450,2026-04-16T06:11:50.225Z,2026-04-16T06:12:43.069Z,claude-sonnet-4-6,B-notools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:11:48Z,2026-04-16T06:12:43Z
15,sonnet,B-notools,low,3,false,1288fda7-64c3-471a-b6e4-23e0f2dd987d,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/1288fda7-64c3-471a-b6e4-23e0f2dd987d.jsonl,59,0,,2,1,228,10821,0,6,4560,0,24338,2763,1797,57.351,0,0,0,0,0.0,0.0,0.0,0.0,7,16644,2026-04-16T06:12:47.220Z,2026-04-16T06:13:44.571Z,claude-sonnet-4-6,B-notools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:12:45Z,2026-04-16T06:13:44Z
16,sonnet,B-notools,high,1,false,b6e1f432-43f7-4bae-b82d-be9aa0960012,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/b6e1f432-43f7-4bae-b82d-be9aa0960012.jsonl,66,0,,2,1,4662,6690,0,6,5926,0,24398,2838,3088,63.13,6,0,1,0,1.287001287001287,0.0,0.2145002145002145,0.0,7,26030,2026-04-16T06:13:48.681Z,2026-04-16T06:14:51.811Z,claude-sonnet-4-6,B-notools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:13:46Z,2026-04-16T06:14:52Z
17,sonnet,B-notools,high,2,false,76c3ed82-291a-495a-abcd-209a62a8a230,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/76c3ed82-291a-495a-abcd-209a62a8a230.jsonl,111,0,,2,1,7848,9343,0,6,9736,0,24458,4298,5438,108.546,3,0,8,0,0.382262996941896,0.0,1.019367991845056,0.0,8,40360,2026-04-16T06:14:56.183Z,2026-04-16T06:16:44.729Z,claude-sonnet-4-6,B-notools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:14:54Z,2026-04-16T06:16:45Z
18,sonnet,B-notools,high,3,false,f2c3878a-ab11-4b44-a3f0-d781d8111bff,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/f2c3878a-ab11-4b44-a3f0-d781d8111bff.jsonl,119,0,,2,1,10976,9936,0,6,11030,0,28478,5228,5802,117.359,6,0,5,0,0.5466472303206997,0.0,0.45553935860058303,0.0,8,47062,2026-04-16T06:16:49.094Z,2026-04-16T06:18:46.453Z,claude-sonnet-4-6,B-notools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:16:47Z,2026-04-16T06:18:46Z
19,opus,B-notools,low,1,false,83f7e340-e610-4888-865c-7dc9692d85cd,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/83f7e340-e610-4888-865c-7dc9692d85cd.jsonl,29,0,,1,0,0,3906,0,6,1285,2082,15233,977,308,26.684,0,0,0,0,0.0,0.0,0.0,0.0,6,7647,2026-04-16T06:18:50.622Z,2026-04-16T06:19:17.306Z,claude-opus-4-6,B-notools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:18:48Z,2026-04-16T06:19:17Z
20,opus,B-notools,low,2,false,c51d5663-87c7-4b74-8f26-51eaa3f9ae1b,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/c51d5663-87c7-4b74-8f26-51eaa3f9ae1b.jsonl,30,0,,1,0,0,4055,0,6,1309,2082,15232,1014,295,27.937,0,0,0,0,0.0,0.0,0.0,0.0,6,7796,2026-04-16T06:19:21.461Z,2026-04-16T06:19:49.398Z,claude-opus-4-6,B-notools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:19:19Z,2026-04-16T06:19:49Z
21,opus,B-notools,low,3,false,,,13,1,exit_code=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.110 (Claude Code),2026-04-16T06:19:51Z,2026-04-16T06:20:04Z
22,opus,B-notools,high,1,false,bf0f9333-38df-4e93-8708-a1fd59372b2a,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/bf0f9333-38df-4e93-8708-a1fd59372b2a.jsonl,55,0,,2,1,3848,3892,0,12,7522,4164,30464,1935,5587,53.536,0,0,0,0,0.0,0.0,0.0,0.0,7,22214,2026-04-16T06:20:07.918Z,2026-04-16T06:21:01.454Z,claude-opus-4-6,B-notools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:20:06Z,2026-04-16T06:21:01Z
23,opus,B-notools,high,2,false,76bf8098-e428-4a82-a266-9bcf648e1213,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/76bf8098-e428-4a82-a266-9bcf648e1213.jsonl,48,0,,2,1,2713,2682,0,12,5596,4164,30464,1349,4247,45.982,1,0,2,0,0.36859565057132326,0.0,0.7371913011426465,0.0,7,18458,2026-04-16T06:21:05.540Z,2026-04-16T06:21:51.522Z,claude-opus-4-6,B-notools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:21:03Z,2026-04-16T06:21:51Z
24,opus,B-notools,high,3,false,12591a6e-97c9-4493-be66-f9d4e5028697,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/12591a6e-97c9-4493-be66-f9d4e5028697.jsonl,50,0,,2,1,1088,4166,0,12,5448,4164,30462,1314,4134,46.824,0,0,0,0,0.0,0.0,0.0,0.0,7,15723,2026-04-16T06:21:55.885Z,2026-04-16T06:22:42.709Z,claude-opus-4-6,B-notools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:21:53Z,2026-04-16T06:22:43Z
25,sonnet,B-tools,low,1,true,cde236dd-a148-4fee-b2ef-a85c1be572df,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/cde236dd-a148-4fee-b2ef-a85c1be572df.jsonl,91,0,,2,1,4052,11267,0,6,7574,0,47902,3830,3744,88.968,0,0,3,0,0.0,0.0,0.740375123395854,0.0,10,36381,2026-04-16T06:22:46.957Z,2026-04-16T06:24:15.925Z,claude-sonnet-4-6,B-tools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:22:45Z,2026-04-16T06:24:16Z
26,sonnet,B-tools,low,2,true,476825ea-02f0-4314-bf06-7a6aabc1a597,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/476825ea-02f0-4314-bf06-7a6aabc1a597.jsonl,83,0,,2,1,2915,12103,0,6,7010,47902,0,3755,3255,80.799,1,0,1,0,0.34305317324185247,0.0,0.34305317324185247,0.0,9,32987,2026-04-16T06:24:20.047Z,2026-04-16T06:25:40.846Z,claude-sonnet-4-6,B-tools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:24:18Z,2026-04-16T06:25:41Z
27,sonnet,B-tools,low,3,true,2e914a70-e9a5-4496-a8b9-dd6b876c9bd8,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/2e914a70-e9a5-4496-a8b9-dd6b876c9bd8.jsonl,86,0,,2,1,4304,12309,0,6,7338,47902,0,4154,3184,83.738,3,0,0,0,0.6970260223048327,0.0,0.0,0.0,10,35956,2026-04-16T06:25:45.007Z,2026-04-16T06:27:08.745Z,claude-sonnet-4-6,B-tools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:25:43Z,2026-04-16T06:27:09Z
28,sonnet,B-tools,high,1,true,88ae1496-eb9a-42cd-8840-ed8011622cbb,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/88ae1496-eb9a-42cd-8840-ed8011622cbb.jsonl,103,0,,2,1,7077,9470,0,6,9684,0,47902,4137,5547,101.624,8,0,5,0,1.1304224954076587,0.0,0.7065140596297868,0.0,10,46452,2026-04-16T06:27:12.914Z,2026-04-16T06:28:54.538Z,claude-sonnet-4-6,B-tools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:27:11Z,2026-04-16T06:28:54Z
29,sonnet,B-tools,high,2,true,cf0cdcc8-0d79-40df-bc41-05282f605078,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/cf0cdcc8-0d79-40df-bc41-05282f605078.jsonl,130,0,,2,1,8178,12200,0,6,11984,47902,0,5095,6889,128.814,1,0,7,0,0.12227928588897041,0.0,0.8559550012227929,0.0,10,53386,2026-04-16T06:28:58.760Z,2026-04-16T06:31:07.574Z,claude-sonnet-4-6,B-tools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:28:57Z,2026-04-16T06:31:07Z
30,sonnet,B-tools,high,3,true,8a448392-7bf0-45f1-83b2-d1d92d8a81d9,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/8a448392-7bf0-45f1-83b2-d1d92d8a81d9.jsonl,137,0,,2,1,13141,11259,0,6,13938,47902,0,6100,7838,134.691,8,0,8,0,0.6087816756715623,0.0,0.6087816756715623,0.0,10,65313,2026-04-16T06:31:11.984Z,2026-04-16T06:33:26.675Z,claude-sonnet-4-6,B-tools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:31:10Z,2026-04-16T06:33:27Z
31,opus,B-tools,low,1,true,,,11,1,exit_code=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.110 (Claude Code),2026-04-16T06:33:29Z,2026-04-16T06:33:40Z
32,opus,B-tools,low,2,true,f8cf4c7e-db82-4da9-8cfc-1bda62f0f5bd,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/f8cf4c7e-db82-4da9-8cfc-1bda62f0f5bd.jsonl,55,0,,2,1,2255,5687,0,12,6124,0,67100,1986,4138,52.212,1,0,0,0,0.4434589800443459,0.0,0.0,0.0,9,24731,2026-04-16T06:33:44.686Z,2026-04-16T06:34:36.898Z,claude-opus-4-6,B-tools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:33:42Z,2026-04-16T06:34:37Z
33,opus,B-tools,low,3,true,0faab2d4-4fe1-4bf9-b7dc-45f8e1c1c28f,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/0faab2d4-4fe1-4bf9-b7dc-45f8e1c1c28f.jsonl,50,0,,2,1,2691,4716,0,12,5396,67100,0,1852,3544,47.57,1,0,2,0,0.37160906726124115,0.0,0.7432181345224823,0.0,9,24149,2026-04-16T06:34:41.264Z,2026-04-16T06:35:28.834Z,claude-opus-4-6,B-tools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:34:39Z,2026-04-16T06:35:29Z
34,opus,B-tools,high,1,true,1981645c-de8d-40bc-8337-014ddfc82c04,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/1981645c-de8d-40bc-8337-014ddfc82c04.jsonl,81,0,,2,1,5441,5752,0,12,9518,0,67100,2799,6719,79.025,2,0,3,0,0.3675794890645102,0.0,0.5513692335967653,0.0,10,34978,2026-04-16T06:35:33.248Z,2026-04-16T06:36:52.273Z,claude-opus-4-6,B-tools,2.1.110,2.1.110 (Claude Code),2026-04-16T06:35:31Z,2026-04-16T06:36:53Z
35,opus,B-tools,high,2,true,,,13,1,exit_code=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.110 (Claude Code),2026-04-16T06:36:55Z,2026-04-16T06:37:08Z
36,opus,B-tools,high,3,true,,,14,1,exit_code=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.110 (Claude Code),2026-04-16T06:37:10Z,2026-04-16T06:37:24Z
R_12,opus,A,high,3,false,89b30c00-6a93-4284-8e7d-92ffc5618c82,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/89b30c00-6a93-4284-8e7d-92ffc5618c82.jsonl,11,0,,1,0,0,56,0,6,23,0,19867,14,9,7.924,0,0,0,0,0.0,0.0,0.0,0.0,6,3057,2026-04-16T07:13:15.701Z,2026-04-16T07:13:23.625Z,claude-opus-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T07:13:13Z,2026-04-16T07:13:24Z
R_9,opus,A,low,3,false,8586a78e-c2ef-400d-b714-18deed378f56,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/8586a78e-c2ef-400d-b714-18deed378f56.jsonl,12,0,,1,0,0,51,0,6,20,0,19867,13,7,8.573,0,0,0,0,0.0,0.0,0.0,0.0,6,3052,2026-04-16T07:13:16.080Z,2026-04-16T07:13:24.653Z,claude-opus-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T07:13:13Z,2026-04-16T07:13:25Z
R_21,opus,B-notools,low,3,false,fa3f5e1c-9f33-4ab5-9f38-92f239b886cb,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/fa3f5e1c-9f33-4ab5-9f38-92f239b886cb.jsonl,41,0,,1,0,0,3952,0,6,1360,2082,15230,988,372,38.783,0,0,0,0,0.0,0.0,0.0,0.0,6,7693,2026-04-16T07:13:32.243Z,2026-04-16T07:14:11.026Z,claude-opus-4-6,B-notools,2.1.110,2.1.110 (Claude Code),2026-04-16T07:13:30Z,2026-04-16T07:14:11Z
R_31,opus,B-tools,low,1,true,b58f70d6-479a-40f3-b4a0-8e0a84511567,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/b58f70d6-479a-40f3-b4a0-8e0a84511567.jsonl,51,0,,2,1,262,5770,0,12,3994,36590,30510,1508,2486,49.074,0,0,0,0,0.0,0.0,0.0,0.0,9,18572,2026-04-16T07:13:32.267Z,2026-04-16T07:14:21.341Z,claude-opus-4-6,B-tools,2.1.110,2.1.110 (Claude Code),2026-04-16T07:13:30Z,2026-04-16T07:14:21Z
R_35,opus,B-tools,high,2,true,304b5650-ac1a-4b51-83c2-4862a8b6f555,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/304b5650-ac1a-4b51-83c2-4862a8b6f555.jsonl,74,0,,2,1,3087,6301,0,12,7880,36590,30510,2347,5533,71.207,1,0,1,0,0.32393909944930355,0.0,0.32393909944930355,0.0,9,29161,2026-04-16T07:14:28.728Z,2026-04-16T07:15:39.935Z,claude-opus-4-6,B-tools,2.1.110,2.1.110 (Claude Code),2026-04-16T07:14:26Z,2026-04-16T07:15:40Z
R_36,opus,B-tools,high,3,true,d9fa3b22-43d5-41a7-b115-90f09da88d39,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/d9fa3b22-43d5-41a7-b115-90f09da88d39.jsonl,75,0,,2,1,2842,5154,0,12,7806,36590,30510,1999,5807,72.668,3,0,0,0,1.0555946516537649,0.0,0.0,0.0,9,28699,2026-04-16T07:14:28.840Z,2026-04-16T07:15:41.508Z,claude-opus-4-6,B-tools,2.1.110,2.1.110 (Claude Code),2026-04-16T07:14:26Z,2026-04-16T07:15:41Z
