cell_id,model,prompt_cell,effort,replicate,tools_allowed,session_id,jsonl_path,started_at,ended_at,duration_s,exit_code,claude_version,error_note
1,sonnet,A,low,1,false,8f5a528d-acb0-42f9-9bd1-024ac01bd6d6,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/8f5a528d-acb0-42f9-9bd1-024ac01bd6d6.jsonl,2026-04-16T06:08:02Z,2026-04-16T06:08:08Z,6,0,2.1.110 (Claude Code),
2,sonnet,A,low,2,false,c6bef3ce-9a90-46ae-b21f-6fccb5192bc4,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/c6bef3ce-9a90-46ae-b21f-6fccb5192bc4.jsonl,2026-04-16T06:08:10Z,2026-04-16T06:08:16Z,6,0,2.1.110 (Claude Code),
3,sonnet,A,low,3,false,34bcc74a-9eb4-4e8c-b13a-1931d2c56771,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/34bcc74a-9eb4-4e8c-b13a-1931d2c56771.jsonl,2026-04-16T06:08:18Z,2026-04-16T06:08:25Z,7,0,2.1.110 (Claude Code),
4,sonnet,A,high,1,false,e666f6e8-efef-4afe-aa53-e12fb0bdbcfe,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/e666f6e8-efef-4afe-aa53-e12fb0bdbcfe.jsonl,2026-04-16T06:08:27Z,2026-04-16T06:08:35Z,8,0,2.1.110 (Claude Code),
5,sonnet,A,high,2,false,80d42e10-43b1-4301-b475-5f73c34ce43b,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/80d42e10-43b1-4301-b475-5f73c34ce43b.jsonl,2026-04-16T06:08:37Z,2026-04-16T06:08:43Z,6,0,2.1.110 (Claude Code),
6,sonnet,A,high,3,false,286083dc-7fbe-4100-a477-0600c66f6347,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/286083dc-7fbe-4100-a477-0600c66f6347.jsonl,2026-04-16T06:08:45Z,2026-04-16T06:08:51Z,6,0,2.1.110 (Claude Code),
7,opus,A,low,1,false,323a1f13-6674-4ecb-9733-55411d084118,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/323a1f13-6674-4ecb-9733-55411d084118.jsonl,2026-04-16T06:08:53Z,2026-04-16T06:08:58Z,5,0,2.1.110 (Claude Code),
8,opus,A,low,2,false,f29ebcc8-783b-42e1-a282-54712acb075e,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/f29ebcc8-783b-42e1-a282-54712acb075e.jsonl,2026-04-16T06:09:00Z,2026-04-16T06:09:06Z,6,0,2.1.110 (Claude Code),
9,opus,A,low,3,false,,,2026-04-16T06:09:08Z,2026-04-16T06:09:33Z,25,1,2.1.110 (Claude Code),exit_code=1
10,opus,A,high,1,false,20a48f96-37b5-47d0-8fc3-a61823a30842,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/20a48f96-37b5-47d0-8fc3-a61823a30842.jsonl,2026-04-16T06:09:35Z,2026-04-16T06:09:41Z,6,0,2.1.110 (Claude Code),
11,opus,A,high,2,false,051040b0-8148-43a6-9344-24b16261062c,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/051040b0-8148-43a6-9344-24b16261062c.jsonl,2026-04-16T06:09:43Z,2026-04-16T06:09:53Z,10,0,2.1.110 (Claude Code),
12,opus,A,high,3,false,,,2026-04-16T06:09:55Z,2026-04-16T06:10:21Z,26,1,2.1.110 (Claude Code),exit_code=1
13,sonnet,B-notools,low,1,false,8366460a-6814-4a24-b467-32cc9d384b42,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/8366460a-6814-4a24-b467-32cc9d384b42.jsonl,2026-04-16T06:10:23Z,2026-04-16T06:11:46Z,83,0,2.1.110 (Claude Code),
14,sonnet,B-notools,low,2,false,e50122a4-63ee-4fd2-859c-adebb49d5888,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/e50122a4-63ee-4fd2-859c-adebb49d5888.jsonl,2026-04-16T06:11:48Z,2026-04-16T06:12:43Z,55,0,2.1.110 (Claude Code),
15,sonnet,B-notools,low,3,false,1288fda7-64c3-471a-b6e4-23e0f2dd987d,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/1288fda7-64c3-471a-b6e4-23e0f2dd987d.jsonl,2026-04-16T06:12:45Z,2026-04-16T06:13:44Z,59,0,2.1.110 (Claude Code),
16,sonnet,B-notools,high,1,false,b6e1f432-43f7-4bae-b82d-be9aa0960012,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/b6e1f432-43f7-4bae-b82d-be9aa0960012.jsonl,2026-04-16T06:13:46Z,2026-04-16T06:14:52Z,66,0,2.1.110 (Claude Code),
17,sonnet,B-notools,high,2,false,76c3ed82-291a-495a-abcd-209a62a8a230,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/76c3ed82-291a-495a-abcd-209a62a8a230.jsonl,2026-04-16T06:14:54Z,2026-04-16T06:16:45Z,111,0,2.1.110 (Claude Code),
18,sonnet,B-notools,high,3,false,f2c3878a-ab11-4b44-a3f0-d781d8111bff,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/f2c3878a-ab11-4b44-a3f0-d781d8111bff.jsonl,2026-04-16T06:16:47Z,2026-04-16T06:18:46Z,119,0,2.1.110 (Claude Code),
19,opus,B-notools,low,1,false,83f7e340-e610-4888-865c-7dc9692d85cd,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/83f7e340-e610-4888-865c-7dc9692d85cd.jsonl,2026-04-16T06:18:48Z,2026-04-16T06:19:17Z,29,0,2.1.110 (Claude Code),
20,opus,B-notools,low,2,false,c51d5663-87c7-4b74-8f26-51eaa3f9ae1b,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/c51d5663-87c7-4b74-8f26-51eaa3f9ae1b.jsonl,2026-04-16T06:19:19Z,2026-04-16T06:19:49Z,30,0,2.1.110 (Claude Code),
21,opus,B-notools,low,3,false,,,2026-04-16T06:19:51Z,2026-04-16T06:20:04Z,13,1,2.1.110 (Claude Code),exit_code=1
22,opus,B-notools,high,1,false,bf0f9333-38df-4e93-8708-a1fd59372b2a,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/bf0f9333-38df-4e93-8708-a1fd59372b2a.jsonl,2026-04-16T06:20:06Z,2026-04-16T06:21:01Z,55,0,2.1.110 (Claude Code),
23,opus,B-notools,high,2,false,76bf8098-e428-4a82-a266-9bcf648e1213,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/76bf8098-e428-4a82-a266-9bcf648e1213.jsonl,2026-04-16T06:21:03Z,2026-04-16T06:21:51Z,48,0,2.1.110 (Claude Code),
24,opus,B-notools,high,3,false,12591a6e-97c9-4493-be66-f9d4e5028697,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/12591a6e-97c9-4493-be66-f9d4e5028697.jsonl,2026-04-16T06:21:53Z,2026-04-16T06:22:43Z,50,0,2.1.110 (Claude Code),
25,sonnet,B-tools,low,1,true,cde236dd-a148-4fee-b2ef-a85c1be572df,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/cde236dd-a148-4fee-b2ef-a85c1be572df.jsonl,2026-04-16T06:22:45Z,2026-04-16T06:24:16Z,91,0,2.1.110 (Claude Code),
26,sonnet,B-tools,low,2,true,476825ea-02f0-4314-bf06-7a6aabc1a597,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/476825ea-02f0-4314-bf06-7a6aabc1a597.jsonl,2026-04-16T06:24:18Z,2026-04-16T06:25:41Z,83,0,2.1.110 (Claude Code),
27,sonnet,B-tools,low,3,true,2e914a70-e9a5-4496-a8b9-dd6b876c9bd8,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/2e914a70-e9a5-4496-a8b9-dd6b876c9bd8.jsonl,2026-04-16T06:25:43Z,2026-04-16T06:27:09Z,86,0,2.1.110 (Claude Code),
28,sonnet,B-tools,high,1,true,88ae1496-eb9a-42cd-8840-ed8011622cbb,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/88ae1496-eb9a-42cd-8840-ed8011622cbb.jsonl,2026-04-16T06:27:11Z,2026-04-16T06:28:54Z,103,0,2.1.110 (Claude Code),
29,sonnet,B-tools,high,2,true,cf0cdcc8-0d79-40df-bc41-05282f605078,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/cf0cdcc8-0d79-40df-bc41-05282f605078.jsonl,2026-04-16T06:28:57Z,2026-04-16T06:31:07Z,130,0,2.1.110 (Claude Code),
30,sonnet,B-tools,high,3,true,8a448392-7bf0-45f1-83b2-d1d92d8a81d9,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/8a448392-7bf0-45f1-83b2-d1d92d8a81d9.jsonl,2026-04-16T06:31:10Z,2026-04-16T06:33:27Z,137,0,2.1.110 (Claude Code),
31,opus,B-tools,low,1,true,,,2026-04-16T06:33:29Z,2026-04-16T06:33:40Z,11,1,2.1.110 (Claude Code),exit_code=1
32,opus,B-tools,low,2,true,f8cf4c7e-db82-4da9-8cfc-1bda62f0f5bd,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/f8cf4c7e-db82-4da9-8cfc-1bda62f0f5bd.jsonl,2026-04-16T06:33:42Z,2026-04-16T06:34:37Z,55,0,2.1.110 (Claude Code),
33,opus,B-tools,low,3,true,0faab2d4-4fe1-4bf9-b7dc-45f8e1c1c28f,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/0faab2d4-4fe1-4bf9-b7dc-45f8e1c1c28f.jsonl,2026-04-16T06:34:39Z,2026-04-16T06:35:29Z,50,0,2.1.110 (Claude Code),
34,opus,B-tools,high,1,true,1981645c-de8d-40bc-8337-014ddfc82c04,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/1981645c-de8d-40bc-8337-014ddfc82c04.jsonl,2026-04-16T06:35:31Z,2026-04-16T06:36:53Z,81,0,2.1.110 (Claude Code),
35,opus,B-tools,high,2,true,,,2026-04-16T06:36:55Z,2026-04-16T06:37:08Z,13,1,2.1.110 (Claude Code),exit_code=1
36,opus,B-tools,high,3,true,,,2026-04-16T06:37:10Z,2026-04-16T06:37:24Z,14,1,2.1.110 (Claude Code),exit_code=1
R_12,opus,A,high,3,false,89b30c00-6a93-4284-8e7d-92ffc5618c82,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/89b30c00-6a93-4284-8e7d-92ffc5618c82.jsonl,2026-04-16T07:13:13Z,2026-04-16T07:13:24Z,11,0,2.1.110 (Claude Code),
R_9,opus,A,low,3,false,8586a78e-c2ef-400d-b714-18deed378f56,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/8586a78e-c2ef-400d-b714-18deed378f56.jsonl,2026-04-16T07:13:13Z,2026-04-16T07:13:25Z,12,0,2.1.110 (Claude Code),
R_21,opus,B-notools,low,3,false,fa3f5e1c-9f33-4ab5-9f38-92f239b886cb,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/fa3f5e1c-9f33-4ab5-9f38-92f239b886cb.jsonl,2026-04-16T07:13:30Z,2026-04-16T07:14:11Z,41,0,2.1.110 (Claude Code),
R_31,opus,B-tools,low,1,true,b58f70d6-479a-40f3-b4a0-8e0a84511567,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/b58f70d6-479a-40f3-b4a0-8e0a84511567.jsonl,2026-04-16T07:13:30Z,2026-04-16T07:14:21Z,51,0,2.1.110 (Claude Code),
R_35,opus,B-tools,high,2,true,304b5650-ac1a-4b51-83c2-4862a8b6f555,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/304b5650-ac1a-4b51-83c2-4862a8b6f555.jsonl,2026-04-16T07:14:26Z,2026-04-16T07:15:40Z,74,0,2.1.110 (Claude Code),
R_36,opus,B-tools,high,3,true,d9fa3b22-43d5-41a7-b115-90f09da88d39,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/d9fa3b22-43d5-41a7-b115-90f09da88d39.jsonl,2026-04-16T07:14:26Z,2026-04-16T07:15:41Z,75,0,2.1.110 (Claude Code),
